codmun,municipio,codRegiaoSaude,nomeRegiaoSaude,populacaoTCU2019,casosAcumulado,obitosAcumulado,porcentagem_casos_hab,porcentagem_obitos_casos,CIR,CodRegiao,Sede,Região de Saúde,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Código Município,Código Município Completo,Municipio,CodMunIBGE,Código,Área Territorial - km²,População estimada - pessoas,Densidade demográfica - hab/km²,Escolarização 6 a 14 anos,IDHM - Índice de desenvolvimento humano municipal,Mortalidade infantil - óbitos por mil nascidos vivos,Receitas realizadas - R$ (×1000),Despesas empenhadas - R$ (×1000) [2017],PIB per capita - R$,v0002_codigo_do_municipio,GeoSES,educação,mobilidade,pobreza,privacao_material,riqueza,renda,segregacao
240010,Acari,24004,4ª REGIAO DE SAUDE - CAICO,11136,61,3,0.0054777298850574715,0.049180327868852465,4,24004,Caicó,Seridó,2,Central Potiguar,12,Seridó Oriental,109.0,2400109,Acari,240010,2400109,608.466,11136,18.13,97.6,0.679,19.05,26943.45359,23825.10614,10508.72,2400109,-0.41079695616587697,65.09767120370465,0,49.797159793779535,10.669699107614989,1.5786623807802354,1455.05330035142,0.12258002735639904
240020,Açu,24008,8ª REGIAO DE SAUDE - ACU,58017,1167,51,0.020114793939707328,0.043701799485861184,8,24008,Açu,Vale do Açu,1,Oeste Potiguar,4,Vale do Açu,208.0,2400208,Açu,240020,2400208,1303.442,58017,40.84,97.6,0.661,8.08,107791.0353,98919.77871,15364.85,2400208,-0.4377447155521879,67.17499069530061,0,52.98174128076403,15.582068238852127,1.099616346767352,1646.173816645692,0.0752902145762544
240030,Afonso Bezerra,24003,3ª REGIAO DE SAUDE - JOAO CAMARA,11035,101,6,0.009152695967376528,0.0594059405940594,3,24003,João Câmara,Mato Grande/Salineira,2,Central Potiguar,9,Angicos,307.0,2400307,Afonso Bezerra,240030,2400307,576.179,11035,18.82,98.8,0.585,9.01,33903.89094,34590.47519,8556.54,2400307,-0.6490726670280136,75.24355070883055,0,67.96730703364014,11.348408179884832,0.0,984.7837855693414,0.06009071974561486
240040,Água Nova,24006,6ª REGIAO DE SAUDE - PAU DOS FERROS,3252,20,0,0.006150061500615006,0.0,6,24006,Pau dos Ferros,Alto Oeste,1,Oeste Potiguar,5,Serra de São Miguel,406.0,2400406,Água Nova,240040,2400406,50.684,3252,58.8,99.2,0.616,19.61,14214.25207,14059.26223,7818.76,2400406,-0.6316097041077378,67.33467011332496,0,74.98919613684853,2.671361142402075,0.0,798.1494191861342,0.08121868118600163
240050,Alexandria,24006,6ª REGIAO DE SAUDE - PAU DOS FERROS,13577,44,4,0.0032407748398026073,0.09090909090909093,6,24006,Pau dos Ferros,Alto Oeste,1,Oeste Potiguar,6,Pau dos Ferros,505.0,2400505,Alexandria,240050,2400505,381.205,13577,35.43,97.5,0.606,11.76,44435.81559,42149.27432,9054.32,2400505,-0.568942886847138,74.495238114424,0,63.87002037294758,6.178090473816057,0.9105392416502144,1064.8502116339284,0.0853196905814606
240060,Almino Afonso,24006,6ª REGIAO DE SAUDE - PAU DOS FERROS,4735,19,0,0.004012671594508976,0.0,6,24006,Pau dos Ferros,Alto Oeste,1,Oeste Potiguar,7,Umarizal,604.0,2400604,Almino Afonso,240060,2400604,128.038,4735,38.04,95.5,0.624,20.0,17341.64717,16151.62121,7424.23,2400604,-0.5521952281145042,69.52863858252482,0,64.16812079474309,4.338965397179022,0.5411408202871861,1072.874968569576,0.1061870780449734
240070,Alto do Rodrigues,24008,8ª REGIAO DE SAUDE - ACU,14529,330,13,0.02271319430105307,0.03939393939393939,8,24008,Açu,Vale do Açu,1,Oeste Potiguar,4,Vale do Açu,703.0,2400703,Alto do Rodrigues,240070,2400703,191.334,14529,64.31,97.3,0.672,11.17,46991.15526,49781.02715,28772.81,2400703,-0.4115869314039377,65.83979352554101,0,43.39329010578732,13.485846628745527,0.2762456385682341,1603.4307621172284,0.09338814327412416
240080,Angicos,24008,8ª REGIAO DE SAUDE - ACU,11714,90,3,0.007683114222298105,0.03333333333333333,8,24008,Açu,Vale do Açu,2,Central Potiguar,9,Angicos,802.0,2400802,Angicos,240080,2400802,741.582,11714,15.57,96.5,0.624,17.09,25571.17511,20119.03344,10576.46,2400802,-0.5537205679588328,69.37638720082482,0,59.44928069511855,11.690678074826332,0.8136628951729303,1292.0696506145173,0.055094589609902656
240090,Antônio Martins,24006,6ª REGIAO DE SAUDE - PAU DOS FERROS,7145,3,1,0.0004198740377886634,0.3333333333333333,6,24006,Pau dos Ferros,Alto Oeste,1,Oeste Potiguar,7,Umarizal,901.0,2400901,Antônio Martins,240090,2400901,244.897,7145,28.24,98.0,0.578,25.97,17039.97627,15756.95677,7304.95,2400901,-0.6224164188892658,78.06650199469027,0,68.13009779249269,2.9724385181814963,0.0,891.1468066176828,0.09619763052499763
240100,Apodi,24002,2ª REGIAO DE SAUDE - MOSSORO,35845,1396,21,0.038945459617798855,0.01504297994269341,2,24002,Mossoró,Oeste,1,Oeste Potiguar,2,Chapada do Apodi,1008.0,2401008,Apodi,240100,2401008,1602.477,35845,21.69,97.2,0.639,8.13,65151.72813,61116.86361,12973.9,2401008,-0.4976110689953242,68.36005221351604,0,58.60415562821,8.174529744247987,0.28604472193979724,1290.606916074552,0.0979041859264882
